index,StationName,Line,lat_lng,Latitude,Longitude
2,Agarpara,Eastern Line,"(22.6828782, 88.3853645)",22.6828782,88.3853645
15,Baghajatin,South Lines,"(22.4805175, 88.3887598)",22.4805175,88.3887598
32,Bally,Eastern Line,"(22.64259075, 88.31841856805198)",22.64259075,88.31841856805198
33,Bally Ghat,Chord link Line,"(22.652442, 88.3479045)",22.652442,88.3479045
34,Bally Halt,Chord link Line,"(22.6523408, 88.3386361)",22.6523408,88.3386361
35,Ballygunge Junction,Circular Line,"(22.5191616, 88.3721923)",22.5191616,88.3721923
37,Bandar,Eastern Line,"(22.64539635, 88.43709757254729)",22.64539635,88.43709757254729
44,Baranagar Road,Chord link Line,"(22.6534856, 88.3788583)",22.6534856,88.3788583
45,Barasat Junction,Eastern Line,"(22.7242369, 88.48401362527414)",22.7242369,88.48401362527414
50,Barrackpore,Eastern Line,"(22.7603363, 88.3710985)",22.7603363,88.3710985
60,Belanagar,Eastern Line,"(22.6612335, 88.3170788)",22.6612335,88.3170788
62,Belgharia,Eastern Line,"(22.6656371, 88.3980035)",22.6656371,88.3980035
65,Belur,Eastern Line,"(22.6357323, 88.3398223)",22.6357323,88.3398223
66,Belur Math,Eastern Line,"(22.6323298, 88.35645069606947)",22.6323298,88.35645069606947
67,Benoy Badal Dinesh Bagh,Circular Line,"(22.5632877, 88.3458675)",22.5632877,88.3458675
77,Bidhannagar Road,Chord link Line,"(22.584430599999997, 88.40552436987596)",22.584430599999997,88.40552436987596
79,Biman Bandar,Eastern Line,"(22.64539635, 88.43709757254729)",22.64539635,88.43709757254729
81,Birati,Eastern Line,"(22.6632119, 88.4271269)",22.6632119,88.4271269
86,Brace Bridge,South Lines,"(22.5179206, 88.3011366)",22.5179206,88.3011366
101,Dakshineswar,Chord link Line,"(22.654827, 88.35757762289637)",22.654827,88.35757762289637
107,Dasnagar,Eastern Line,"(22.60193385, 88.31071406931048)",22.60193385,88.31071406931048
112,Dhakuria,South Lines,"(22.5094085, 88.371185)",22.5094085,88.371185
123,Dum Dum Cantonment,Eastern Line,"(22.6364899, 88.4120228)",22.6364899,88.4120228
124,Dum Dum Junction,Circular Line,"(22.621175299999997, 88.39316530800073)",22.621175299999997,88.39316530800073
129,Eden Gardens,Circular Line,"(22.564561349999998, 88.34424156337812)",22.564561349999998,88.34424156337812
133,Garia,South Lines,"(22.4662366, 88.4050198)",22.4662366,88.4050198
164,Howrah Junction,Eastern Line,"(22.5828709, 88.3428112)",22.5828709,88.3428112
165,Hridaypur,Eastern Line,"(22.7109969, 88.4699989)",22.7109969,88.4699989
167,Jadavpur,South Lines,"(22.4951079, 88.3749813)",22.4951079,88.3749813
175,Jessore Road,Eastern Line,"(22.6800036, 88.4538818)",22.6800036,88.4538818
205,Khardaha,Eastern Line,"(22.7156992, 88.381582)",22.7156992,88.381582
210,Kolkata Chitpur,Circular Line,"(22.6012775, 88.3841474)",22.6012775,88.3841474
211,Kona,Eastern Line,"(22.5754021, 88.3017734)",22.5754021,88.3017734
212,Konnagar,Eastern Line,"(22.69972, 88.3519784)",22.69972,88.3519784
219,Lake Gardens,Circular Line,"(22.5080547, 88.3533289)",22.5080547,88.3533289
222,Liluah,Eastern Line,"(22.6207446, 88.3392327)",22.6207446,88.3392327
228,Madhyamgram,Eastern Line,"(22.6947839, 88.4530183)",22.6947839,88.4530183
266,Narendrapur,South Lines,"(22.454571299999998, 88.41873438837713)",22.454571299999998,88.41873438837713
268,Netra,South Lines,"(22.4963257, 88.358423)",22.4963257,88.358423
269,New Alipore,Circular Line,"(22.5098804, 88.3359538)",22.5098804,88.3359538
270,New Barrackpore,Eastern Line,"(22.7603363, 88.3710985)",22.7603363,88.3710985
271,New Garia,South Lines,"(22.4727076, 88.3977962)",22.4727076,88.3977962
276,Padmapukur,Eastern Line,"(22.531542899999998, 88.3524573831443)",22.531542899999998,88.3524573831443
284,Park Circus,Circular Line,"(22.5405657, 88.3738598)",22.5405657,88.3738598
285,Patipukur,Circular Line,"(22.6079137, 88.3934937)",22.6079137,88.3934937
291,Prinsep Ghat,Circular Line,"(22.5565925, 88.3314074)",22.5565925,88.3314074
298,Ramrajatala,Eastern Line,"(22.5886606, 88.2966655)",22.5886606,88.2966655
301,Remount Road,Circular Line,"(22.5259855, 88.3167075)",22.5259855,88.3167075
302,Rishra,Eastern Line,"(22.7227211, 88.3619835)",22.7227211,88.3619835
311,Santragachi Junction,Eastern Line,"(22.5846995, 88.2830722)",22.5846995,88.2830722
314,Sealdah,Chord link Line,"(22.5679661, 88.3711047)",22.5679661,88.3711047
316,Shalimar,Eastern Line,"(22.5623511, 88.3100425)",22.5623511,88.3100425
319,Shrirampur,Eastern Line,"(22.7549951, 88.3416672)",22.7549951,88.3416672
326,Sir Gurudas Banerjee Halt,Circular Line,"(22.5741753, 88.3850451)",22.5741753,88.3850451
327,Sodepur,Eastern Line,"(22.6980373, 88.3803135)",22.6980373,88.3803135
329,Sonarpur Junction,South Lines,"(22.4427478, 88.4309013)",22.4427478,88.4309013
337,Tala,Circular Line,"(22.4972293, 88.3524505)",22.4972293,88.3524505
345,Tikiapara,Eastern Line,"(22.598577, 88.324035)",22.598577,88.324035
346,Titagarh,Eastern Line,"(22.7419198, 88.379201)",22.7419198,88.379201
347,Tollygunge,Circular Line,"(22.5002426, 88.3490494)",22.5002426,88.3490494
353,Uttarpara,Eastern Line,"(22.733153350000002, 88.32132942482318)",22.733153350000002,88.32132942482318
365,Deshapran,Eastern Line,"(22.5050807, 88.3451921)",22.5050807,88.3451921
373,Hind Motor,Eastern Line,"(22.6836507, 88.3417989)",22.6836507,88.3417989
375,Baltikuri,Chord link Line,"(22.6094016, 88.2961287)",22.6094016,88.2961287
376,Bhattanagar,Chord link Line,"(22.6327475, 88.3054766)",22.6327475,88.3054766
