address1,Postal Latitude,Postal Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Agarpara,22.6828782,88.38536450000001,Agarpara Railway Station,22.682885571740055,88.38536381721497,Train Station
Agarpara,22.6828782,88.38536450000001,Axis Bank ATM,22.67623833,88.38905667,ATM
Agarpara,22.6828782,88.38536450000001,Sleepwell,22.68046,88.37426,Mattress Store
Agarpara,22.6828782,88.38536450000001,Shamvu da's tea shop,22.694959306645416,88.37966126257591,Bakery
Baghajatin,22.480517499999998,88.3887598,Inox,22.48319670950164,88.39080333709717,Multiplex
Baghajatin,22.480517499999998,88.3887598,Metropolis Mall,22.48319670950164,88.39080333709717,Shopping Mall
Baghajatin,22.480517499999998,88.3887598,Big Bazaar,22.48319670950164,88.39080333709717,Department Store
Baghajatin,22.480517499999998,88.3887598,Kavi Subash Metro Station,22.47231141705965,88.3981204032898,Metro Station
Baghajatin,22.480517499999998,88.3887598,Patuli Bus Stand,22.471491537169943,88.37981290852971,Bus Station
Bally,22.64259075,88.31841856805198,Axis Bank ATM,22.642002,88.322715,ATM
Bally Ghat,22.652442,88.3479045,Bally Ghat Railway Station,22.65242297769844,88.347909450531,Train Station
Bally Ghat,22.652442,88.3479045,Bally Halt,22.652869389603612,88.34723946031961,Bus Station
Bally Ghat,22.652442,88.3479045,Lenskart.com,22.65756,88.3485189,Optical Shop
Bally Ghat,22.652442,88.3479045,Bally Railway Station,22.65502696716386,88.34043145179749,Train Station
Bally Ghat,22.652442,88.3479045,Dakshineshwar Belur Ferry Terminal,22.65560122435269,88.35728645324706,Boat or Ferry
Bally Ghat,22.652442,88.3479045,Thatware,22.651007099579683,88.33745956420898,Business Service
Bally Halt,22.6523408,88.33863609999999,Thatware,22.651007099579683,88.33745956420898,Business Service
Bally Halt,22.6523408,88.33863609999999,Bally Railway Station,22.65502696716386,88.34043145179749,Train Station
Bally Halt,22.6523408,88.33863609999999,UCO Bank ATM,22.64829,88.34529,ATM
Bally Halt,22.6523408,88.33863609999999,Bally Halt,22.652869389603612,88.34723946031961,Bus Station
Bally Halt,22.6523408,88.33863609999999,Bally Ghat Railway Station,22.65242297769844,88.347909450531,Train Station
Bally Halt,22.6523408,88.33863609999999,Shivansh Exim Enterprises,22.654452707572705,88.32881212234497,Electronics Store
Ballygunge Junction,22.5191616,88.3721923,Sienna Store & Cafe,22.517641332811532,88.3629834651947,Arts & Crafts Store
Ballygunge Junction,22.5191616,88.3721923,6 Ballygunge Place,22.527711762714475,88.36867703124626,Bengali Restaurant
Ballygunge Junction,22.5191616,88.3721923,Fabindia,22.518523398976704,88.36346626281738,Boutique
Ballygunge Junction,22.5191616,88.3721923,China Whites,22.52196025547201,88.36548200870713,Chinese Restaurant
Ballygunge Junction,22.5191616,88.3721923,Byloom,22.51775035253012,88.363037109375,Boutique
Ballygunge Junction,22.5191616,88.3721923,Wise Owl,22.517164950856994,88.36104199399729,Coffee Shop
Ballygunge Junction,22.5191616,88.3721923,Chowman,22.526977073385158,88.36850881576538,Chinese Restaurant
Ballygunge Junction,22.5191616,88.3721923,Aminia,22.51657095282566,88.36673855781555,Mughlai Restaurant
Ballygunge Junction,22.5191616,88.3721923,Triangular Park,22.517923808219937,88.35828938743566,Park
Ballygunge Junction,22.5191616,88.3721923,Cream Centre,22.52709599594756,88.36844444274902,Vegetarian / Vegan Restaurant
Ballygunge Junction,22.5191616,88.3721923,Mrs Magpie,22.516370255655424,88.36180597543716,Café
Ballygunge Junction,22.5191616,88.3721923,Gariahat Junction,22.5197036586171,88.36542244843267,Plaza
Ballygunge Junction,22.5191616,88.3721923,Balaram Mullick & Radharaman Mullick,22.52824557543919,88.36643815040588,Indian Sweet Shop
Ballygunge Junction,22.5191616,88.3721923,Smoke Shack,22.523251858661805,88.36377448643061,Lounge
Ballygunge Junction,22.5191616,88.3721923,Barista,22.520317246507002,88.3624255657196,Café
